user_id,image_index,time,guess,guess_2,answer
2,36,3886,95,115,129
12,8,10594,55,80,98
32,11,21001,55,59,80
10,1,31132,35,46,37
30,1,30800,15,20,37
5,13,16979,31,27,41
12,9,7891,30,45,80
20,6,15121,50,90,77
16,16,20913,70,80,71
5,14,8134,99,81,112
38,6,40614,100,105,94
30,2,10345,45,55,73
12,10,8813,45,60,44
10,2,10530,75,85,73
5,15,7906,49,40,60
32,12,27012,40,39,39
5,16,8667,66,78,109
20,7,14422,65,75,44
12,11,8531,75,90,77
16,17,20840,80,75,79
30,3,14296,55,65,85
10,3,11565,75,89,94
5,17,5342,110,130,165
9,13,26104,39,42,41
26,1,18395,35,50,37
12,12,8734,85,102,85
38,7,34675,115,120,98
10,4,8080,80,92,62
5,18,8572,97,75,84
16,18,20796,60,66,69
20,8,18935,105,160,98
239,6,135743,93,94,98
30,4,15995,90,75,80
5,19,9278,60,55,69
10,5,6684,75,86,98
9,14,9237,80,90,112
11,1,21615,39,40,37
26,2,10648,70,90,73
5,20,6623,130,145,128
9,15,7514,110,120,166
38,8,23622,44,46,44
30,5,10336,100,110,98
16,19,17449,100,112,109
55,13,27587,30,45,41
7,25,89238,25,50,36
5,21,6543,150,170,166
10,6,14117,42,48,39
11,2,14973,50,60,73
9,16,7795,80,90,84
26,3,8938,40,48,44
20,9,24935,80,130,62
7,26,7283,88,109,85
5,22,10255,55,70,71
10,7,5876,75,89,77
30,6,13059,65,80,77
5,23,4808,99,130,139
88,1,72957,34,37,37
55,14,13001,87,103,112
9,17,8492,50,60,69
7,27,7290,205,255,193
16,20,23137,135,150,166
11,3,15753,70,60,85
26,4,7997,35,43,29
8,25,11651,30,40,36
10,8,10852,120,128,226
5,24,5082,80,65,79
20,10,13791,150,200,80
9,18,7619,60,70,79
7,28,8347,180,240,177
10,9,5304,34,46,44
11,4,8076,100,120,226
8,26,9430,90,100,85
21,13,86912,38,42,41
55,15,16041,120,135,128
26,5,8317,50,60,39
16,21,15816,80,85,84
38,9,46170,110,100,80
230,1,48299,3,7,37
30,7,20864,50,60,44
11,5,6223,50,60,62
9,19,8906,60,70,71
10,10,8219,45,48,85
20,11,10543,35,50,39
7,29,14030,25,35,27
26,6,8350,100,80,77
8,27,10520,80,70,65
10,11,7831,67,78,80
55,16,11962,135,140,165
21,14,15768,95,105,112
9,20,7163,90,110,128
239,7,81622,94,95,94
22,1,44732,45,62,37
11,6,14520,32,31,29
16,22,19373,125,135,139
10,12,4619,12,16,29
7,30,14540,150,200,129
18,13,32623,41,47,41
8,28,8448,20,28,27
26,7,10455,60,75,62
9,21,7237,110,130,139
11,7,6650,75,85,80
30,8,22666,30,32,29
20,12,12832,175,350,226
88,2,43967,73,75,73
22,2,10822,75,90,73
7,31,12221,125,149,65
21,15,18470,69,74,69
230,2,13396,54,58,73
55,17,22205,75,86,79
9,22,6882,90,110,109
16,23,19767,135,143,165
26,8,11207,200,220,226
18,14,13273,99,124,112
8,29,15479,200,220,129
30,9,11408,150,175,226
11,8,18189,40,41,39
9,23,9345,130,150,165
22,3,11005,20,30,29
7,32,14296,45,75,40
11,9,5886,90,120,98
38,10,60671,75,80,77
26,9,10765,100,110,94
8,30,9053,200,180,103
55,18,16061,67,76,84
16,24,17392,60,70,60
230,3,10821,115,120,77
239,8,47993,80,81,80
7,33,5930,88,120,114
21,16,25200,94,102,109
9,24,7249,50,60,60
11,10,7016,80,90,77
30,10,11132,75,85,94
15,13,51759,41,39,41
26,10,9886,110,90,85
22,4,14001,150,200,226
7,34,7403,125,155,103
11,11,6435,90,110,94
55,19,11860,90,126,109
40,13,45099,42,38,41
8,31,15744,250,200,177
15,14,9162,100,90,112
18,15,25416,95,107,84
239,9,23899,39,40,39
14,1,17946,50,75,37
8,32,8584,90,100,76
22,5,9767,55,72,77
7,35,15494,60,105,51
26,11,12638,90,70,80
11,12,17678,44,45,44
15,15,9079,100,120,165
21,17,18752,84,90,84
18,16,7248,65,84,79
30,11,25332,40,45,39
55,20,16246,106,116,166
14,2,4258,60,40,73
7,36,6386,78,126,76
38,11,45866,88,92,85
13,13,17484,25,35,41
8,33,13391,90,100,114
26,12,8933,100,120,98
40,14,29428,98,78,112
14,3,4560,50,70,62
15,16,12219,50,65,69
22,6,15592,28,35,44
35,13,34788,41,43,41
13,14,5648,80,95,112
14,4,4597,20,30,29
18,17,10117,65,84,71
